Symbol,Pattern Type,Status,Left Shoulder Date,Left Shoulder Price,Head Date,Head Price,Right Shoulder Date,Right Shoulder Price,Neckline Price,Breakout Date,Breakout Price,Volume Confirmed,Target,Stop Loss,Risk:Reward,Notes
3MINDIA,Inverse H&S,Forming,2025-12-29,34100.0,2026-01-27,32750.0,2026-02-16,33985.0,37667.5,,,No,,,,Neckline not yet broken
ACC,Inverse H&S,Forming,2025-04-07,1855.78,2025-05-09,1761.65,2025-06-04,1842.26,2026.45,,,No,,,,Neckline not yet broken
ABBOTINDIA,Inverse H&S,Failed,2025-03-12,29149.57,2025-04-07,27122.3,2025-04-25,29025.74,30953.89,2025-05-21,31003.2,Yes,34834.79,29025.74,1.94,Closed beyond right-shoulder level after breakout
ACUTAAS,H&S,Forming,2025-01-08,1196.28,2025-02-05,1320.66,2025-02-21,1173.31,978.39,,,No,,,,Neckline not yet broken
ADANIENSOL,Inverse H&S,Forming,2025-12-18,969.0,2026-01-23,803.1,2026-02-16,972.3,1053.85,2026-04-08,1073.3,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
ADANIGREEN,Inverse H&S,Failed,2025-06-04,983.7,2025-06-19,929.0,2025-07-08,981.3,1061.95,2025-09-22,1152.15,Yes,1285.1,981.3,0.78,Closed beyond right-shoulder level after breakout
ADANIPOWER,Inverse H&S,Forming,2025-12-30,139.68,2026-01-23,128.1,2026-02-16,139.01,155.03,2026-03-17,155.6,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
AEGISLOG,H&S,Forming,2025-09-16,819.4,2025-10-03,944.6,2025-10-28,821.75,764.45,2025-10-31,750.15,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
AEGISVOPAK,H&S,Forming,2025-06-26,263.5,2025-07-18,302.0,2025-08-05,258.74,230.34,2026-01-09,228.97,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
AFCONS,Inverse H&S,Forming,2026-04-24,311.45,2026-05-19,289.8,2026-06-08,309.15,350.77,,,No,,,,Neckline not yet broken
AFFLE,H&S,Forming,2025-08-13,2010.0,2025-09-22,2185.9,2025-10-10,1993.7,1875.45,2025-11-04,1832.8,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
AFFLE,H&S,Forming,2026-04-17,1519.8,2026-05-11,1686.0,2026-05-26,1544.0,1402.7,,,No,,,,Neckline not yet broken
ARE&M,H&S,Confirmed,2025-08-20,1004.34,2025-09-16,1051.92,2025-10-09,1009.91,959.12,2025-11-10,958.6,Yes,865.8,1009.91,1.81,
ANANTRAJ,Inverse H&S,Failed,2025-03-03,418.25,2025-04-07,375.7,2025-05-09,413.55,540.87,2025-05-29,544.19,Yes,709.37,413.55,1.26,Closed beyond right-shoulder level after breakout
ANANTRAJ,Inverse H&S,Forming,2025-12-30,524.0,2026-01-30,478.0,2026-02-16,525.0,597.7,,,No,,,,Neckline not yet broken
APARINDS,Inverse H&S,Forming,2026-02-13,9325.5,2026-03-16,8856.0,2026-04-02,9298.5,11223.0,2026-04-10,11342.0,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
APTUS,Inverse H&S,Forming,2025-07-16,327.28,2025-07-31,314.88,2025-08-11,326.0,348.64,2025-08-14,350.31,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
DMART,H&S,Forming,2025-04-03,4195.5,2025-04-24,4557.7,2025-05-19,4247.7,3805.6,2025-12-18,3757.2,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BSE,Inverse H&S,Forming,2025-02-17,1651.79,2025-03-11,1223.47,2025-04-07,1654.23,1966.24,2025-04-15,1979.76,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BAJAJHLDNG,Inverse H&S,Failed,2025-03-04,11005.84,2025-04-07,10327.92,2025-05-09,11073.71,12701.83,2025-05-16,13020.13,Yes,15394.04,11073.71,1.22,Closed beyond right-shoulder level after breakout
BALRAMCHIN,H&S,Forming,2025-04-03,567.2,2025-04-25,600.7,2025-05-19,568.94,508.6,2025-09-19,505.92,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BANDHANBNK,Inverse H&S,Forming,2025-09-01,159.53,2025-09-26,154.53,2025-10-17,159.41,169.49,2025-10-23,171.31,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BAYERCROP,H&S,Forming,2025-12-29,4619.0,2026-02-12,4966.8,2026-03-11,4639.7,4352.55,2026-05-15,4349.8,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BDL,H&S,Forming,2025-10-17,1564.43,2025-11-14,1627.61,2025-12-02,1554.47,1431.45,2025-12-08,1418.05,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BEL,Inverse H&S,Forming,2026-02-24,428.53,2026-03-30,399.35,2026-04-30,424.5,468.93,,,No,,,,Neckline not yet broken
BEL,H&S,Failed,2025-05-28,390.93,2025-07-01,433.15,2025-08-06,390.92,375.38,2025-08-20,370.27,Yes,312.5,390.92,2.8,Closed beyond right-shoulder level after breakout
BSOFT,Inverse H&S,Forming,2025-03-13,378.59,2025-04-07,325.87,2025-05-09,370.46,406.0,2025-05-12,413.93,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BSOFT,H&S,Forming,2025-06-11,429.04,2025-06-27,444.99,2025-07-18,430.66,403.1,2025-07-22,401.75,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BLUEDART,H&S,Forming,2025-04-23,6650.18,2025-05-26,7193.83,2025-06-10,6581.98,6186.19,2025-06-19,6135.41,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BBTC,H&S,Forming,2026-04-23,1559.7,2026-05-08,1610.8,2026-05-25,1552.0,1467.55,,,No,,,,Neckline not yet broken
BOSCHLTD,Inverse H&S,Forming,2026-02-20,34730.0,2026-03-30,28610.0,2026-05-04,35475.0,37925.0,2026-05-08,38145.0,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
BRIGADE,H&S,Forming,2025-05-19,843.45,2025-06-05,996.44,2025-07-08,841.58,789.74,2025-07-23,785.03,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
CESC,Inverse H&S,Forming,2025-08-11,155.01,2025-08-29,147.07,2025-10-01,155.08,166.32,2025-10-15,170.47,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
CANFINHOME,Inverse H&S,Confirmed,2025-08-08,726.6,2025-08-29,703.23,2025-09-12,727.44,776.49,2025-10-01,777.02,Yes,850.28,727.44,1.48,
CARTRADE,H&S,Forming,2025-04-04,1724.0,2025-05-05,1868.5,2025-05-16,1714.0,1431.85,,,No,,,,Neckline not yet broken
CASTROLIND,H&S,Forming,2025-02-10,197.73,2025-03-06,231.17,2025-04-24,201.86,178.03,2025-12-16,177.54,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
CDSL,H&S,Forming,2026-03-11,1261.7,2026-04-20,1401.1,2026-05-29,1269.3,1134.5,,,No,,,,Neckline not yet broken
COHANCE,Inverse H&S,Forming,2025-01-13,1039.1,2025-01-28,935.0,2025-02-12,1025.0,1135.35,2025-02-19,1159.95,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
CAMS,H&S,Forming,2025-08-25,777.98,2025-09-19,822.21,2025-10-14,778.0,729.73,2025-12-30,728.18,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
CREDITACC,Inverse H&S,Failed,2025-08-29,1323.1,2025-09-15,1265.0,2025-10-01,1326.0,1427.5,2025-10-27,1472.2,Yes,1634.7,1326.0,1.11,Closed beyond right-shoulder level after breakout
CROMPTON,Inverse H&S,Forming,2025-03-03,313.36,2025-04-07,298.34,2025-05-09,312.22,358.31,,,No,,,,Neckline not yet broken
CUMMINSIND,Inverse H&S,Forming,2025-03-12,2742.54,2025-04-07,2544.32,2025-04-25,2759.4,2986.91,2025-05-16,2993.62,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
DEEPAKFERT,H&S,Forming,2025-06-12,1625.36,2025-07-03,1765.95,2025-07-15,1646.51,1517.73,2025-07-28,1509.59,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
ERIS,H&S,Forming,2026-02-25,1416.4,2026-04-16,1470.11,2026-05-11,1411.92,1211.5,,,No,,,,Neckline not yet broken
NYKAA,H&S,Forming,2026-01-05,272.95,2026-02-11,285.6,2026-04-20,272.5,232.03,,,No,,,,Neckline not yet broken
MEDANTA,Inverse H&S,Forming,2025-03-12,1156.08,2025-04-07,1009.64,2025-04-30,1171.08,1287.89,2025-07-10,1301.33,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
GODREJIND,Inverse H&S,Forming,2026-02-13,956.35,2026-03-30,744.2,2026-05-04,949.05,1053.2,2026-05-07,1226.85,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
GODREJIND,H&S,Failed,2025-02-21,1194.0,2025-03-24,1265.0,2025-04-22,1190.0,1011.0,2025-12-04,1000.8,Yes,746.8,1190.0,1.34,Closed beyond right-shoulder level after breakout
GRAPHITE,Inverse H&S,Confirmed,2025-10-14,546.1,2025-11-10,519.5,2025-11-24,542.5,629.55,2025-12-31,641.7,Yes,751.75,542.5,1.11,
GESHIP,H&S,Forming,2025-10-31,1114.69,2025-11-12,1155.15,2025-12-01,1117.12,1028.08,,,No,,,,Neckline not yet broken
HEG,H&S,Forming,2025-10-09,551.2,2025-11-03,606.55,2025-11-26,550.0,497.53,2026-03-13,496.05,No,,,,Neckline crossed but volume/head-leg criteria not met — not confirmed
