Symbol,Pattern,Detected,In_Formation,Score,Confidence,Breakout_Level,Stop_Loss,Target_1,Risk_Reward,Gap_To_Break_%,Pole_Return_%,Pole_Bars,Consol_Bars,Vol_Pole_Surge,Vol_Consol_Avg_OK,Vol_Trend_Decline,Vol_All_3_OK,Breakout_Vol_Watch,Weekly_Confirmed,Notes,Narrative
CONCORDBIO.NS,Bull Flag,True,True,100.0,HIGH,1389.8,1273.6,1775.5,3.32,8.06,30.0,11,7,True,True,True,True,1026882,True,Strong pole +30.0% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 33.4% (ideal) ✓ | Duration 7d (ideal) ✓ | Pole vol surge 6.84x ✓ | Vol declining in flag ✓,"[1. POLE] From 01-Jun-2026 to 15-Jun-2026 (11 sessions): price moved from ₹1061.3 to ₹1380.2 (+30.0%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 1,062,446 shares/day — 6.8x higher than the 20 sessions before it. You should see clearly taller volume bars during 01-Jun-2026–15-Jun-2026.  //  [2. FLAG] From 16-Jun-2026 to 25-Jun-2026 (8 sessions): price consolidated between ₹1273.6 and ₹1389.8. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 33.4% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (16-Jun-2026–25-Jun-2026): average volume was 208,612 shares/day — 20% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -15,597 shares/day). On the chart the volume bars should visibly shrink from left to right across the 16-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹1389.8. Price needs to close above this level on volume above 1,026,882 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹1389.8. Stop-loss: ₹1273.6 (below pattern low). Target: ₹1775.5 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 1,026,882 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +1.130%/week) and weekly volume is contracting (0.43× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹1389.8 on volume above 1,026,882 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  ⚠ EXPIRING SOON — 1 trading day(s) left (by 29-Jun-2026).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (11 bars × 2/3 = 8 max consolidation bars). Pattern has used 7 of 8 allowed bars — 1 trading day(s) remaining from today.  Pattern validity is running out fast. If price does not close above ₹1389.8 on volume above 1,026,882 shares by 29-Jun-2026, remove this stock from your watchlist immediately — the setup will have failed and a breakdown is more likely than a breakout."
OLAELEC.NS,Bull Flag,True,True,100.0,HIGH,47.49,41.05,61.22,2.13,13.61,26.5,15,9,True,True,True,True,291526216,True,Strong pole +26.5% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 47.1% (ideal) ✓ | Duration 9d (ideal) ✓ | Pole vol surge 3.04x ✓ | Vol declining in flag ✓,"[1. POLE] From 22-May-2026 to 11-Jun-2026 (15 sessions): price moved from ₹36.0 to ₹45.5 (+26.5%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 204,651,321 shares/day — 3.0x higher than the 20 sessions before it. You should see clearly taller volume bars during 22-May-2026–11-Jun-2026.  //  [2. FLAG] From 12-Jun-2026 to 25-Jun-2026 (10 sessions): price consolidated between ₹41.0 and ₹47.5. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 47.1% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (12-Jun-2026–25-Jun-2026): average volume was 119,411,600 shares/day — 58% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -10,181,125 shares/day). On the chart the volume bars should visibly shrink from left to right across the 12-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹47.5. Price needs to close above this level on volume above 291,526,216 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹47.5. Stop-loss: ₹41.0 (below pattern low). Target: ₹61.2 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 291,526,216 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +1.804%/week) and weekly volume is contracting (0.71× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹47.5 on volume above 291,526,216 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  ⚠ EXPIRING SOON — 1 trading day(s) left (by 29-Jun-2026).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (15 bars × 2/3 = 10 max consolidation bars). Pattern has used 9 of 10 allowed bars — 1 trading day(s) remaining from today.  Pattern validity is running out fast. If price does not close above ₹47.5 on volume above 291,526,216 shares by 29-Jun-2026, remove this stock from your watchlist immediately — the setup will have failed and a breakdown is more likely than a breakout."
ARE&M.NS,Symmetrical Triangle,True,True,95.0,MEDIUM,877.5,793.85,985.08,1.29,5.11,0.0,0,25,True,True,False,False,778696,False,Descending swing highs ✓ | Ascending swing lows ✓ | Trendlines converging ✓ | Near-symmetrical slopes ✓ | Duration 25d (Murphy ideal) ✓ | Volume contracted in triangle ✓,"[1. PRIOR TREND] This is a Symmetrical Triangle. Open your chart and confirm there was a meaningful uptrend before the pattern started forming.  //  [2. TRIANGLE] From 18-May-2026 to 22-Jun-2026 (26 sessions): pattern formed with swing highs at 29-May-2026, 22-Jun-2026 and swing lows at 18-May-2026, 11-Jun-2026. On the chart draw a line connecting the swing highs (should slope down) and another connecting the swing lows (should slope up). They should converge toward each other — forming a symmetric triangle. Upper boundary is the resistance, lower is support.  //  [3. VOLUME CHECK] During the consolidation (18-May-2026–22-Jun-2026): average volume was 1,076,050 shares/day — 31% of the pole's average (✓ contracted as Murphy requires).   //      ⚠ Volume within consolidation was NOT clearly declining (slope: -70,936 shares/day). Check the chart manually — if volume bars are erratic or rising, the pattern is weaker.  //  [4. STATUS — IN FORMATION] As of 22-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹877.5. Price needs to close above this level on volume above 778,696 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹877.5. Stop-loss: ₹793.8 (below pattern low). Target: ₹985.1 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 778,696 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ⚠] weekly trend is FLAT/DOWN (EMA20 slope -0.048%/wk). Check the weekly chart before trading — daily pattern is present but weekly context is not ideal.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹877.5 on volume above 778,696 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 18-Aug-2026 (37 trading day(s) remaining).  Murphy rule: triangle must break out before 3/4 of the distance to apex. Estimated apex in ~83 bars from triangle start — 3/4 mark = 63 bars. Pattern has used 26 bars, 37 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 18-Aug-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
AIIL.NS,Bull Flag,True,True,95.0,HIGH,560.0,515.0,700.6,3.12,8.11,20.7,11,5,True,True,True,True,2593032,True,Strong pole +20.7% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 35.8% (ideal) ✓ | Pole vol surge 6.12x ✓ | Vol declining in flag ✓,"[1. POLE] From 03-Jun-2026 to 17-Jun-2026 (11 sessions): price moved from ₹454.5 to ₹548.8 (+20.7%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 2,726,322 shares/day — 6.1x higher than the 20 sessions before it. You should see clearly taller volume bars during 03-Jun-2026–17-Jun-2026.  //  [2. FLAG] From 18-Jun-2026 to 25-Jun-2026 (6 sessions): price consolidated between ₹515.0 and ₹560.0. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 35.8% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (18-Jun-2026–25-Jun-2026): average volume was 440,205 shares/day — 16% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -11,009 shares/day). On the chart the volume bars should visibly shrink from left to right across the 18-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹560.0. Price needs to close above this level on volume above 2,593,032 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹560.0. Stop-loss: ₹515.0 (below pattern low). Target: ₹700.6 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 2,593,032 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +0.713%/week) and weekly volume is contracting (0.40× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹560.0 on volume above 2,593,032 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 01-Jul-2026 (3 trading day(s) remaining).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (11 bars × 2/3 = 8 max consolidation bars). Pattern has used 5 of 8 allowed bars — 3 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 01-Jul-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
IFCI.NS,Bull Flag,True,True,95.0,MEDIUM,95.8,76.55,118.87,1.2,24.42,37.0,15,8,True,False,True,False,197931917,True,Strong pole +37.0% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 35.1% (ideal) ✓ | Duration 8d (ideal) ✓ | Pole vol surge 3.97x ✓ | Vol declining in flag ✓,"[1. POLE] From 25-May-2026 to 12-Jun-2026 (15 sessions): price moved from ₹61.8 to ₹84.6 (+37.0%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 89,282,069 shares/day — 4.0x higher than the 20 sessions before it. You should see clearly taller volume bars during 25-May-2026–12-Jun-2026.  //  [2. FLAG] From 15-Jun-2026 to 25-Jun-2026 (9 sessions): price consolidated between ₹76.6 and ₹95.8. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 35.1% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (15-Jun-2026–25-Jun-2026): average volume was 158,907,578 shares/day — 178% of the pole's average (⚠ not contracted enough).   //      Volume was also trending DOWN within the consolidation (slope: -33,044,630 shares/day). On the chart the volume bars should visibly shrink from left to right across the 15-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹95.8. Price needs to close above this level on volume above 197,931,917 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹95.8. Stop-loss: ₹76.6 (below pattern low). Target: ₹118.9 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 197,931,917 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +2.951%/week) and weekly volume is contracting (0.63× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹95.8 on volume above 197,931,917 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 30-Jun-2026 (2 trading day(s) remaining).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (15 bars × 2/3 = 10 max consolidation bars). Pattern has used 8 of 10 allowed bars — 2 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 30-Jun-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
UBL.NS,Ascending Triangle,True,True,93.0,HIGH,1366.53,1322.0,1457.07,2.03,2.84,0.0,0,18,True,True,True,True,178518,False,Flat resistance (±0.8%) ✓ | Rising swing lows ✓ | 5 touches of resistance ✓ | Volume contracting ✓ | Vol declining trend ✓,"[1. PRIOR TREND] This is a Ascending Triangle. Open your chart and confirm there was a meaningful uptrend before the pattern started forming.  //  [2. TRIANGLE] From 02-Jun-2026 to 25-Jun-2026 (18 sessions): flat resistance around ₹1373.0 tested multiple times at 04-Jun-2026, 15-Jun-2026, 19-Jun-2026. Swing lows at 02-jun-2026, 08-jun-2026, 19-jun-2026 — price bouncing at higher levels each time. On the chart draw a horizontal line at ₹1366.5 — this is the resistance buyers keep hitting. The lows should form a rising line. Buyers are accumulating.  //  [3. VOLUME CHECK] During the consolidation (02-Jun-2026–25-Jun-2026): average volume was 116,744 shares/day — 41% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -3,576 shares/day). On the chart the volume bars should visibly shrink from left to right across the 02-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹1366.5. Price needs to close above this level on volume above 178,518 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹1366.5. Stop-loss: ₹1322.0 (below pattern low). Target: ₹1457.1 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 178,518 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ⚠] weekly trend is FLAT/DOWN (EMA20 slope -0.780%/wk). Check the weekly chart before trading — daily pattern is present but weekly context is not ideal.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹1366.5 on volume above 178,518 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 14-Jul-2026 (12 trading day(s) remaining).  Murphy rule: triangle must break out before 3/4 of the distance to apex. Estimated apex in ~40 bars from triangle start — 3/4 mark = 30 bars. Pattern has used 18 bars, 12 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 14-Jul-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
DOMS.NS,Bull Flag,True,True,90.0,HIGH,2381.8,2245.0,2669.2,2.1,5.76,11.4,8,5,True,True,True,True,695947,False,Pole +11.4% | Sharp pole (8d) ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 33.2% (ideal) ✓ | Pole vol surge 18.73x ✓ | Vol declining in flag ✓,"[1. POLE] From 08-Jun-2026 to 17-Jun-2026 (8 sessions): price moved from ₹2086.3 to ₹2323.9 (+11.4%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 1,018,123 shares/day — 18.7x higher than the 20 sessions before it. You should see clearly taller volume bars during 08-Jun-2026–17-Jun-2026.  //  [2. FLAG] From 18-Jun-2026 to 25-Jun-2026 (6 sessions): price consolidated between ₹2245.0 and ₹2381.8. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 33.2% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (18-Jun-2026–25-Jun-2026): average volume was 154,836 shares/day — 15% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -29,378 shares/day). On the chart the volume bars should visibly shrink from left to right across the 18-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹2381.8. Price needs to close above this level on volume above 695,947 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹2381.8. Stop-loss: ₹2245.0 (below pattern low). Target: ₹2669.2 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 695,947 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ⚠] weekly trend is FLAT/DOWN (EMA20 slope -0.138%/wk). Check the weekly chart before trading — daily pattern is present but weekly context is not ideal.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹2381.8 on volume above 695,947 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  ⚠ EXPIRING SOON — 1 trading day(s) left (by 29-Jun-2026).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (8 bars × 2/3 = 6 max consolidation bars). Pattern has used 5 of 6 allowed bars — 1 trading day(s) remaining from today.  Pattern validity is running out fast. If price does not close above ₹2381.8 on volume above 695,947 shares by 29-Jun-2026, remove this stock from your watchlist immediately — the setup will have failed and a breakdown is more likely than a breakout."
AEGISVOPAK.NS,Bull Flag,True,True,90.0,HIGH,249.43,229.22,308.45,2.92,6.96,29.2,8,5,True,True,True,True,1690109,True,Strong pole +29.2% ✓ | Sharp pole (8d) ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Pole vol surge 3.38x ✓ | Vol declining in flag ✓,"[1. POLE] From 08-Jun-2026 to 17-Jun-2026 (8 sessions): price moved from ₹184.3 to ₹238.1 (+29.2%). Open your chart and verify this was a sharp, near-vertical move.   //      Volume during this pole averaged 1,866,289 shares/day — 3.4x higher than the 20 sessions before it. You should see clearly taller volume bars during 08-Jun-2026–17-Jun-2026.  //  [2. FLAG] From 18-Jun-2026 to 25-Jun-2026 (6 sessions): price consolidated between ₹229.2 and ₹249.4. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 16.5% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (18-Jun-2026–25-Jun-2026): average volume was 861,651 shares/day — 46% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -143,142 shares/day). On the chart the volume bars should visibly shrink from left to right across the 18-Jun-2026–25-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹249.4. Price needs to close above this level on volume above 1,690,109 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹249.4. Stop-loss: ₹229.2 (below pattern low). Target: ₹308.4 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 1,690,109 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +1.146%/week) and weekly volume is contracting (0.70× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹249.4 on volume above 1,690,109 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  ⚠ EXPIRING SOON — 1 trading day(s) left (by 29-Jun-2026).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (8 bars × 2/3 = 6 max consolidation bars). Pattern has used 5 of 6 allowed bars — 1 trading day(s) remaining from today.  Pattern validity is running out fast. If price does not close above ₹249.4 on volume above 1,690,109 shares by 29-Jun-2026, remove this stock from your watchlist immediately — the setup will have failed and a breakdown is more likely than a breakout."
ABDL.NS,Bull Flag,True,True,90.0,MEDIUM,652.6,610.15,765.55,2.66,4.87,20.2,15,7,False,True,True,False,596246,True,Strong pole +20.2% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 31.6% (ideal) ✓ | Duration 7d (ideal) ✓ | Vol declining in flag ✓,"[1. POLE] From 25-May-2026 to 12-Jun-2026 (15 sessions): price moved from ₹536.0 to ₹644.5 (+20.2%). Open your chart and verify this was a sharp, near-vertical move.   //      ⚠ Volume on the pole was NOT significantly above average (1.3x pre-pole). Murphy requires a surge — treat this pole as weaker.  //  [2. FLAG] From 15-Jun-2026 to 24-Jun-2026 (8 sessions): price consolidated between ₹610.2 and ₹652.6. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 31.6% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (15-Jun-2026–24-Jun-2026): average volume was 271,994 shares/day — 65% of the pole's average (✓ contracted as Murphy requires).   //      Volume was also trending DOWN within the consolidation (slope: -25,551 shares/day). On the chart the volume bars should visibly shrink from left to right across the 15-Jun-2026–24-Jun-2026 period. This is exactly what Murphy describes.  //  [4. STATUS — IN FORMATION] As of 24-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹652.6. Price needs to close above this level on volume above 596,246 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹652.6. Stop-loss: ₹610.2 (below pattern low). Target: ₹765.5 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 596,246 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +1.536%/week) and weekly volume is contracting (0.56× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹652.6 on volume above 596,246 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 01-Jul-2026 (3 trading day(s) remaining).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (15 bars × 2/3 = 10 max consolidation bars). Pattern has used 7 of 10 allowed bars — 3 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 01-Jul-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
EMMVEE.NS,Bull Flag,True,True,85.0,MEDIUM,352.0,323.7,432.75,2.85,4.37,18.4,15,8,False,True,False,False,6214624,True,Strong pole +18.4% ✓ | Downward-sloping channel ✓ | Parallel channel ✓ | Retracement 37.2% (ideal) ✓ | Duration 8d (ideal) ✓,"[1. POLE] From 25-May-2026 to 12-Jun-2026 (15 sessions): price moved from ₹290.2 to ₹343.5 (+18.4%). Open your chart and verify this was a sharp, near-vertical move.   //      ⚠ Volume on the pole was NOT significantly above average (1.1x pre-pole). Murphy requires a surge — treat this pole as weaker.  //  [2. FLAG] From 15-Jun-2026 to 25-Jun-2026 (9 sessions): price consolidated between ₹323.7 and ₹352.0. On the chart you should see a tight downward-drifting channel — both the highs and lows making slightly lower values each day. The channel should look parallel (upper and lower boundary nearly same angle).  //      Retracement of the pole: 37.2% (Murphy ideal: 25–50%). Good — shallow pullback.  //  [3. VOLUME CHECK] During the consolidation (15-Jun-2026–25-Jun-2026): average volume was 2,718,407 shares/day — 49% of the pole's average (✓ contracted as Murphy requires).   //      ⚠ Volume within consolidation was NOT clearly declining (slope: -39,641 shares/day). Check the chart manually — if volume bars are erratic or rising, the pattern is weaker.  //  [4. STATUS — IN FORMATION] As of 25-Jun-2026: price has NOT yet broken out. Breakout level to watch: ₹352.0. Price needs to close above this level on volume above 6,214,624 shares (1.5× 20-day avg) to confirm the breakout.  //  [5. TRADE PLAN] Entry: buy on a closing breakout above ₹352.0. Stop-loss: ₹323.7 (below pattern low). Target: ₹432.8 (pole-length projected from breakout). Do NOT enter if the breakout bar volume is below 6,214,624 shares — that is a false breakout signal.  //  [6. WEEKLY CHART ✓] Weekly trend is UP (EMA20 slope +2.814%/week) and weekly volume is contracting (0.63× 8-week average). The daily pattern is aligned with the bigger trend — stronger setup.  //  [7. WHAT TO WATCH FOR] Wait for a CLOSING candle above ₹352.0 on volume above 6,214,624 shares. Do NOT enter intraday — only a day-end close above this level counts. Until that happens, this is a watch-only setup.  Valid until 30-Jun-2026 (2 trading day(s) remaining).  Murphy rule: flag/pennant must break out within 2/3 of pole duration (15 bars × 2/3 = 10 max consolidation bars). Pattern has used 8 of 10 allowed bars — 2 trading day(s) remaining from today.  You have time, but do not get complacent. If price has not broken out by 30-Jun-2026, the pattern is invalid — remove it from your watchlist regardless of how good it looks."
